TRADER,n_trades,avg_from_amount,avg_to_amount,cluster
osmo106mc079rruv8pxc6w08pq394pt39muxwfgj5z3,1,1000983366.0,669049116.0,0.0
osmo106mqnmypwadwrwn9armp04xdguep5ktjhyyscl,3,2988000000.0,10613831765.666666,0.0
osmo106r8fd0rzf0vanu4spec4uvygewv9wh6uweg2s,1,100.0,6.0,0.0
osmo106rcnk8sh8cnrxhddf6qyhqf2y6vmzq3a4u7xd,1,100.0,6.0,0.0
osmo106s7avt50yys2p9lyrl0d4n5hmk4qalcvmpdrk,4,9375000000.0,5584532749.5,0.0
osmo106uqtknerk5sal8e5c7v3sya458jpcj4v6y02g,2,2671678.5,39936222.0,0.0
osmo106uvdxhuray5r99rnpmg3p6c2tyzcrzaun4zlv,1,100.0,6.0,0.0
osmo106v0dgp92mwgerjph7aw84wwkutzuq4znz4d69,5,2000538960.8,5.925457688818568e+18,0.0
osmo106vqh8mlvmkzg7l5mee8ucfmthvejd9vpxru9v,11,2.925800936441797e+18,2.519790646450322e+19,0.0
osmo1070e2ws00gplvdsshf6w6cvfa0up6420zqcqpy,1,100.0,6.0,0.0
osmo1070fne4rhd0x0tycpp26ckmy44kcxzengxxvy7,1,100.0,6.0,0.0
osmo1070twh2aev97pzvwrnhzz2er6yc49fpjvjqd0r,1,100.0,6.0,0.0
osmo1072ets8tcv5ayjpa5tzqkdfhnpzxypyyyup9wt,2,11250000.0,4264181.5,0.0
osmo1074c8an6aps829sx9h36m674ky4d8jlu6zugt6,4,1.797500000000102e+19,358298.0,0.0
osmo1074t0w76lm4g0gk2saqxw747ap2dz09ssc879w,9,32819233.888888888,1.105135897565997e+18,0.0
osmo10758d9d6ajxk33076vj50djpygh4v6ll0hu3ns,2,683588.0,10124204.0,0.0
osmo1075jj4x5qjsyz5zd7kj8kmzkev6xgc8apue8yn,1,24360.0,9066.0,0.0
osmo10774eymrfgp4hfdnc50qp3afxsjgpv5x2vfs4f,1,2000000.0,5807665.0,0.0
osmo1077njqd7prv6z96sk9y9ncp9r28chdt9nwwy5e,1,100.0,6.0,0.0
osmo10792dvegqf7rwcmh60z34tqs90gjf7qlrcuxfc,1,2000966.0,5316397.0,0.0
osmo1079t9jum2f6u7gtzgh95t4rm3xwg4swqany2re,1,15790000.0,778255711.0,0.0
osmo107daqyxdc37kd8598a2x6amanqhm9dfr5lush3,1,130034701.0,6.440412014462421e+20,0.0
osmo107dthwwtl7xawp0aglqxp6tdw7ap5wz70gnctg,1,29361982.0,126975511.0,0.0
osmo107emflukh6ypjm392p2ngd5hj4zdajhpsp6a0d,1,100.0,6.0,0.0
osmo107ev5pd0lu8w79r8dpx27lvsh79w32pd3qq8qr,1,1234573370.0,310784819.0,0.0
osmo107lshxz46t9q5nad75ngp8vyzq6ss6cnpxapew,1,100.0,6.0,0.0
osmo107n5mm03l4h6vzvxl5a8c0ly5gucekhtck3vev,6,6.616666666717138e+18,26548569.333333332,0.0
osmo107r0ylq95jdantsxr2v376s3mu0ufh6g5fh0j7,6,939815.6666666666,68031717.83333333,0.0
osmo107t3km9mthl93axtpqfsfavkguk7333tqqcj9q,3,14559418.333333334,22403973.333333332,0.0
osmo107u7dkcqgd9vzjsj9v3tmf9ukfmlnqrlcwkrng,1,100.0,6.0,0.0
osmo107u93j8nx26hf7tgmt32f4tz892x72avw8c3jc,3,1821617.0,497077.3333333333,0.0
osmo107vjqq2g0ksant3ga08s6am7j9pk7vwqhj0vr0,4,4.0485718949657574e+18,3.552588274474583e+18,0.0
osmo107vtc5kflupjz0dfurh8x444a2xtke9ly5gjk6,1,1.38e+20,3599106.0,0.0
osmo107x4dm29nx7clskyh7aseushpg3404lfwgarap,1,19300000.0,5530199.0,0.0
osmo107x66k8lzvplpf70qshrrzt8fely84ch257hva,2,44874541189.0,5.703681542805228e+19,0.0
osmo107xfchx78dauk3m3j007ckpr9uhd8w3tpcanmk,1,100.0,6.0,0.0
osmo107xhgsn8tcc0m2mp88gjem63kvp30vuhe6els2,1,100.0,6.0,0.0
osmo107ztvu20ex7ytkwm3zt2cfv28xfumdhz52jqtj,1,100.0,6.0,0.0
osmo10824pwcdehrtd23e9sdnj3szfdqsawfgyax960,4,1186482.5,3.7726046252781625e+19,0.0
osmo1082hr06k6tnlgtp9ep75d5mn987nxuwka3lnwl,1,17558718.0,331209.0,0.0
osmo1082jsjhqad7qmal76nh7yuzzy29k8vv86gkst3,1,100.0,6.0,0.0
osmo1083svrca4t350mphfv9x45wq9asrs60cq5yv9n,3,3789666666.6666665,255890965.0,0.0
osmo1084tlcxdev5d54ccy3f6j8a26hgzh2act7swjy,80,1.4482375621146335e+18,2.9648706172998185e+18,0.0
osmo10886edju00vkaf0xcjynx3q0gk8r5g7g6khe9w,1,100.0,6.0,0.0
osmo1088f80yuw0a38z7vew8k2j27lvcmeffusmeq89,1,100.0,6.0,0.0
osmo108cmwqlf9g4pfjvdd3em6l65f4nmr0975qmph4,1,2623134.0,105956.0,0.0
osmo108d9cc388cjtx9ggjmddn2g4azpv8y5vj3c63a,2,1.50000000000005e+19,4626372.5,0.0
osmo108dfg74r34m0fv3zljtw7759tnruyvu6n87wyz,50,1254351104.54,947633514.06,0.0
osmo108dwuk0vxfc6u85q73zf78hnrcp8l3avnwmrfm,1,100.0,6.0,0.0
osmo108eyh0k7zkq9pr9q5frc83elf95ydacd06r5w2,1,100.0,6.0,0.0
osmo108f0twn6nxgzc644z9tr834xrznnmkfajhd2m6,1,1020000.0,67561.0,0.0
osmo108gvrsya3g5pknyz9deqm0xstrf9n4s268m0lk,8,1.483760063099685e+17,5120372230.625,0.0
osmo108ht9mefeauvnfr2u4phzn3xmthh2dhs8sn7l6,2,3875969.0,868529921.5,0.0
osmo108jvsrr3f328etjaeht3c8xmqhsdhtvj5fmm58,1,100.0,6.0,0.0
osmo108k3fr8ewaht2kcwyk2uqghsdrakjm7dyhk35t,1,100.0,6.0,0.0
osmo108kp6pcf2t2f8ykjx43vkzf8v4c3f656vmpgkz,2,231096914.0,15949454.0,0.0
osmo108m8n0qf49fvhtgwe0nca4tpganjdzuqq4unhj,1,39468308.0,2703088.0,0.0
osmo108nm3f66cllgj70q6aumctc7cslkn3vsdpygmt,2,2.500000000000108e+19,10521164.0,0.0
osmo108qvtqdwrlsvu23cz43n4qhl02wum0yazumypv,1,100.0,6.0,0.0
osmo108qz9drjdswm4y663phxrsrf9cc4m5lgwjxsr7,1,100.0,6.0,0.0
osmo108s9ujjv7zf78jlkutcmk6ax07gq583wuytv6q,1,100.0,6.0,0.0
osmo108sfc8l0krf0cscv29dk658qqruj6qd08kemhr,1,4783700.0,53341.0,0.0
osmo108ss9dsdya700yjzvvz9ad5zaf4c9tpaqxy3n8,2,8.031657576295416e+17,1933009837.0,0.0
osmo108w74nmxw8kkrx33hadrpu9vqdzre2ynqau2hx,1,207614498.0,4377256.0,0.0
