profileid,follower_count,post_count,comment_count,mirror_count
97617,641,42,1,323
61845,640,106,17,53
51838,639,277,10,44
3723,639,11,2,6
14037,638,1092,19,24
9904,638,126,2,4
53446,638,68,5,12
40469,638,35,32,74
46391,637,263,9,26
31200,637,237,9,10
83860,636,206,18,45
57400,636,157,4,19
79454,636,99,1,100
24194,636,53,13,13
93844,636,51,3,18
35916,636,36,5,10
54399,635,117,2,2
102897,635,70,2,1
63972,634,251,6,57
94336,634,234,38,93
24259,633,41,4,34
67286,632,599,17,82
39304,632,77,2,3
48567,632,50,1,2
40956,632,14,1,2
96005,630,48,2,32
32423,629,554,5,1
47518,629,37,2,1
79331,629,21,2,2
104674,628,164,6,28
85932,628,98,1,1
73464,627,175,6,34
79147,627,159,2,19
90622,627,139,3,63
60106,626,484,1,1
5277,626,470,81,26
94340,625,216,48,109
53819,625,129,23,173
93871,625,29,1,1
73314,624,608,22,120
104221,624,157,1,10
113,624,102,1,14
5163,624,101,3,6
4738,624,57,4,2
49097,623,391,1,5
28897,623,212,2,123
49510,623,78,1,2
64066,623,51,12,195
95210,622,178,2,6
96010,622,36,21,68
24254,622,36,16,36
67917,621,4027,1,2
75432,621,33,9,10
28017,620,845,14,59
77741,620,191,2,39
45443,620,61,6,4
34045,620,46,3,36
24278,620,31,8,111
27253,620,26,4,21
31256,619,100,1,20
68641,619,43,1,21
83181,618,142,3,13
3144,618,110,6,2
66740,618,53,3,17
100894,618,42,1,1
87806,618,38,3,13
20990,617,641,65,72
